时间,中信期货五年期国债期货指数,中信期货上证50股指期货指数,中信期货中证500股指期货指数,中信期货商品指数,中信期货农产品指数,中信期货油脂油料指数,中信期货有色金属指数,中信期货贵金属指数,中信期货黑色建材指数,中信期货油脂指数,中信期货饲料指数,中信期货谷物指数,中信期货煤炭指数,中信期货钢铁指数,中信期货建材指数,中信期货铁合金指数,中信期货沪深300股指期货指数,中信期货十年期国债期货指数,中信期货五年期国债期货指数,中信期货上证50股指期货指数,中信期货中证500股指期货指数,中信期货商品指数,中信期货农产品指数,中信期货油脂油料指数,中信期货有色金属指数,中信期货贵金属指数,中信期货黑色建材指数,中信期货油脂指数,中信期货饲料指数,中信期货谷物指数,中信期货煤炭指数,中信期货钢铁指数,中信期货建材指数,中信期货铁合金指数,中信期货沪深300股指期货指数,中信期货十年期国债期货指数,中信期货五年期国债期货指数,中信期货上证50股指期货指数,中信期货中证500股指期货指数,中信期货商品指数,中信期货农产品指数,中信期货油脂油料指数,中信期货有色金属指数,中信期货贵金属指数,中信期货黑色建材指数,中信期货油脂指数,中信期货饲料指数,中信期货谷物指数,中信期货煤炭指数,中信期货钢铁指数,中信期货建材指数,中信期货铁合金指数,中信期货沪深300股指期货指数,中信期货十年期国债期货指数
2010/1/4,0,0,0,132.7521,104.7712,126.5751,213.6822,128.5776,0,132.7282,108.5786,113.9496,0,100,100,0,0,0,0,0,0,132.7521,104.7712,126.5751,213.6822,128.5776,0,132.7282,108.5786,113.9496,0,100,100,0,0,0,0,0,0,132.7521,104.7712,126.5751,213.6822,128.5776,0,132.7282,108.5786,113.9496,0,100,100,0,0,0
2010/1/5,0,0,0,133.8656,104.908,126.7371,216.0479,132.378,0,133.0544,108.5351,114.0874,0,100.2184,100.2184,0,0,0,0,0,0,133.8656,104.908,126.7371,216.0479,132.378,0,133.0544,108.5351,114.0874,0,100.2184,100.2184,0,0,0,0,0,0,133.8656,104.908,126.7371,216.0479,132.378,0,133.0544,108.5351,114.0874,0,100.2184,100.2184,0,0,0
2010/1/6,0,0,0,135.4722,105.6078,128.1674,220.021,131.2645,0,133.761,109.4824,116.0145,0,100.9391,100.9391,0,0,0,0,0,0,135.4722,105.6078,128.1674,220.021,131.2645,0,133.761,109.4824,116.0145,0,100.9391,100.9391,0,0,0,0,0,0,135.4722,105.6078,128.1674,220.021,131.2645,0,133.761,109.4824,116.0145,0,100.9391,100.9391,0,0,0
2010/1/7,0,0,0,133.2287,103.2598,124.7652,218.1923,131.9232,0,129.8501,107.7102,113.8761,0,98.0345,98.0345,0,0,0,0,0,0,133.2287,103.2598,124.7652,218.1923,131.9232,0,129.8501,107.7102,113.8761,0,98.0345,98.0345,0,0,0,0,0,0,133.2287,103.2598,124.7652,218.1923,131.9232,0,129.8501,107.7102,113.8761,0,98.0345,98.0345,0,0,0
2010/1/8,0,0,0,131.9205,101.8474,123.0943,215.6465,130.4595,0,128.0065,107.7562,113.4452,0,97.4449,97.4449,0,0,0,0,0,0,131.9205,101.8474,123.0943,215.6465,130.4595,0,128.0065,107.7562,113.4452,0,97.4449,97.4449,0,0,0,0,0,0,131.9205,101.8474,123.0943,215.6465,130.4595,0,128.0065,107.7562,113.4452,0,97.4449,97.4449,0,0,0
2010/1/11,0,0,0,134.0426,102.503,124.2496,221.7195,134.2704,0,129.2485,108.1953,114.2232,0,98.6242,98.6242,0,0,0,0,0,0,134.0426,102.503,124.2496,221.7195,134.2704,0,129.2485,108.1953,114.2232,0,98.6242,98.6242,0,0,0,0,0,0,134.0426,102.503,124.2496,221.7195,134.2704,0,129.2485,108.1953,114.2232,0,98.6242,98.6242,0,0,0
2010/1/12,0,0,0,133.1304,101.9242,123.0955,220.2646,134.4272,0,127.7997,107.2516,113.4549,0,98.4931,98.4931,0,0,0,0,0,0,133.1304,101.9242,123.0955,220.2646,134.4272,0,127.7997,107.2516,113.4549,0,98.4931,98.4931,0,0,0,0,0,0,133.1304,101.9242,123.0955,220.2646,134.4272,0,127.7997,107.2516,113.4549,0,98.4931,98.4931,0,0,0
2010/1/13,0,0,0,129.3019,98.9795,119.6357,212.3316,131.0659,0,123.7961,104.9172,111.3461,0,96.4839,96.4839,0,0,0,0,0,0,129.3019,98.9795,119.6357,212.3316,131.0659,0,123.7961,104.9172,111.3461,0,96.4839,96.4839,0,0,0,0,0,0,129.3019,98.9795,119.6357,212.3316,131.0659,0,123.7961,104.9172,111.3461,0,96.4839,96.4839,0,0,0
2010/1/14,0,0,0,130.712,99.678,120.3059,215.3977,132.2421,0,125.0084,105.3813,111.7312,0,96.8115,96.8115,0,0,0,0,0,0,130.712,99.678,120.3059,215.3977,132.2421,0,125.0084,105.3813,111.7312,0,96.8115,96.8115,0,0,0,0,0,0,130.712,99.678,120.3059,215.3977,132.2421,0,125.0084,105.3813,111.7312,0,96.8115,96.8115,0,0,0
2010/1/15,0,0,0,129.4823,99.1906,119.9494,214.621,131.8448,0,124.1657,105.3752,111.5435,0,95.392,95.392,0,0,0,0,0,0,129.4823,99.1906,119.9494,214.621,131.8448,0,124.1657,105.3752,111.5435,0,95.392,95.392,0,0,0,0,0,0,129.4823,99.1906,119.9494,214.621,131.8448,0,124.1657,105.3752,111.5435,0,95.392,95.392,0,0,0
